ville1	ville2	distance_m	duree_s
CASA Tachfine Center	Aïn Borja	694	136
Maârif	CASA Tachfine Center	9895	1035
CASA Tachfine Center	Hay El Houda	9234	1039
CASA Tachfine Center	Hay El Baraka	15471	1599
Hay Al Amal	CASA Tachfine Center	2894	545
Mers Sultan	CASA Tachfine Center	7786	857
Hay Essalam	CASA Tachfine Center	141265	5978
ANFA	CASA Tachfine Center	3880	776
El Oulfa	CASA Tachfine Center	15055	1452
Lissasfa	CASA Tachfine Center	13521	1162
Sidi Bernoussi	CASA Tachfine Center	12319	1056
Hay El Farah	CASA Tachfine Center	3381	602
CASA Tachfine Center	Al Fida	3952	784
CASA Tachfine Center	BACHKOU	10353	891
Hay Woroud	CASA Tachfine Center	2959609	110677
LA GIRONDE	CASA Tachfine Center	1761297	68309
CASA Tachfine Center	Derb Ghallef	4569	961
Sidi Moumen	CASA Tachfine Center	8957	1058
Hay Arrahma	CASA Tachfine Center	6869	1081
Hay Moulay Rachid 4	CASA Tachfine Center	6185	978
Bournazel	CASA Tachfine Center	2022740	77233
Sbata	Sidi Maârouf	14315	1296
Sbata	Bourgogne	2340094	88510
Sbata	Aïn Borja	7192	984
Sbata	Maârif	10972	1224
Sbata	Hay El Houda	7502	1158
Sbata	Hay El Baraka	16548	1788
Sbata	Hay Al Amal	5564	857
Sbata	Mers Sultan	4869	748
Sbata	Hay Essalam	144005	5912
Sbata	ANFA	8188	1348
Sbata	El Oulfa	16132	1641
Sbata	Lissasfa	14598	1351
Sbata	Sidi Bernoussi	14360	1223
Sbata	Hay El Farah	5218	801
Sbata	Al Fida	5872	959
Sbata	BACHKOU	11430	1080
Sbata	Hay Woroud	2962350	110610
Sbata	LA GIRONDE	1764037	68242
Sbata	Derb Ghallef	11823	1411
Sbata	Sidi Moumen	7714	1194
Sbata	Hay Arrahma	4340	632
Sbata	Hay Moulay Rachid 4	5449	754
Sbata	Bournazel	2025480	77166
Sidi Maârouf	Bourgogne	2351172	89121
Sidi Maârouf	Aïn Borja	14731	1448
Maârif	Sidi Maârouf	7559	1114
Sidi Maârouf	Hay El Houda	17969	1647
Sidi Maârouf	Hay El Baraka	9057	1340
Sidi Maârouf	Hay Al Amal	10870	1302
Mers Sultan	Sidi Maârouf	7890	1132
Hay Essalam	Sidi Maârouf	155082	6523
Sidi Maârouf	ANFA	8782	1358
El Oulfa	Sidi Maârouf	7031	1040
Lissasfa	Sidi Maârouf	5471	844
Sidi Maârouf	Sidi Bernoussi	21055	1664
Hay El Farah	Sidi Maârouf	10903	1335
Sidi Maârouf	Al Fida	10125	1317
Sidi Maârouf	BACHKOU	7457	1046
Sidi Maârouf	Hay Woroud	2973427	111221
Sidi Maârouf	LA GIRONDE	1775115	68853
Sidi Maârouf	Derb Ghallef	8815	1326
Sidi Moumen	Sidi Maârouf	17692	1666
Hay Arrahma	Sidi Maârouf	16418	1722
Hay Moulay Rachid 4	Sidi Maârouf	15290	1643
Sidi Maârouf	Bournazel	2036558	77777
Bourgogne	Aïn Borja	2336656	87772
Maârif	Bourgogne	2340489	88049
Bourgogne	Hay El Houda	2330724	87550
Bourgogne	Hay El Baraka	2346065	88613
Hay Al Amal	Bourgogne	2337255	87850
Mers Sultan	Bourgogne	2338379	87871
Hay Essalam	Bourgogne	2195788	83041
ANFA	Bourgogne	2340036	88172
El Oulfa	Bourgogne	2345648	88466
Lissasfa	Bourgogne	2344114	88176
Sidi Bernoussi	Bourgogne	2325637	87259
Hay El Farah	Bourgogne	2335859	87833
Bourgogne	Al Fida	2337310	87889
Bourgogne	BACHKOU	2340946	87906
Hay Woroud	Bourgogne	939983	35226
LA GIRONDE	Bourgogne	551083	21255
Bourgogne	Derb Ghallef	2341340	88236
Sidi Moumen	Bourgogne	2330447	87569
Hay Arrahma	Bourgogne	2334475	87797
Hay Moulay Rachid 4	Bourgogne	2333567	87827
Bournazel	Bourgogne	483452	20874
Maârif	Aïn Borja	9517	1008
Hay El Houda	Aïn Borja	9819	990
Hay El Baraka	Aïn Borja	15093	1572
Hay Al Amal	Aïn Borja	2624	506
Mers Sultan	Aïn Borja	7407	830
Hay Essalam	Aïn Borja	141850	5929
ANFA	Aïn Borja	4090	807
El Oulfa	Aïn Borja	14676	1425
Lissasfa	Aïn Borja	13142	1135
Sidi Bernoussi	Aïn Borja	12904	1007
Hay El Farah	Aïn Borja	3111	563
Al Fida	Aïn Borja	3682	745
BACHKOU	Aïn Borja	9974	864
Hay Woroud	Aïn Borja	2960195	110627
LA GIRONDE	Aïn Borja	1761882	68260
Derb Ghallef	Aïn Borja	4779	992
Sidi Moumen	Aïn Borja	9542	1009
Hay Arrahma	Aïn Borja	6815	1092
Hay Moulay Rachid 4	Aïn Borja	6132	989
Bournazel	Aïn Borja	2023325	77183
Maârif	Hay El Houda	13121	1295
Maârif	Hay El Baraka	7233	1091
Maârif	Hay Al Amal	4304	886
Maârif	Mers Sultan	4541	747
Hay Essalam	Maârif	145152	6234
Maârif	ANFA	1115	316
Maârif	El Oulfa	6065	1056
Lissasfa	Maârif	7256	844
Maârif	Sidi Bernoussi	16207	1312
Hay El Farah	Maârif	4791	943
Maârif	Al Fida	3227	633
Maârif	BACHKOU	1430	290
Maârif	Hay Woroud	2963497	110932
Maârif	LA GIRONDE	1765184	68565
Maârif	Derb Ghallef	1495	364
