repere1	repere2	distance_m	duree_s
CASA Tachfine Center	Aïn Borja	694	136
CASA Tachfine Center	Maârif	9895	1035
Hay El Houda	CASA Tachfine Center	9234	1039
CASA Tachfine Center	Hay El Baraka	15471	1599
Hay Al Amal	CASA Tachfine Center	2894	545
CASA Tachfine Center	Mers Sultan	3511	622
CASA Tachfine Center	Hay Essalam	141265	5978
CASA Tachfine Center	ANFA	3880	776
El Oulfa	CASA Tachfine Center	15055	1452
Lissasfa	CASA Tachfine Center	13521	1162
Sidi Bernoussi	CASA Tachfine Center	12319	1056
Hay El Farah	CASA Tachfine Center	3381	602
Al Fida	CASA Tachfine Center	3952	784
CASA Tachfine Center	BACHKOU	10353	891
Hay Woroud	CASA Tachfine Center	2959609	110669
LA GIRONDE	CASA Tachfine Center	1761297	68309
Derb Ghallef	CASA Tachfine Center	4569	961
CASA Tachfine Center	Sidi Moumen	8957	1058
CASA Tachfine Center	Hay Arrahma	606052	22244
CASA Tachfine Center	Hay Moulay Rachid 4	6185	978
Bournazel	CASA Tachfine Center	2022740	77233
Sidi Maârouf	Sbata	14315	1296
Bourgogne	Sbata	2340094	88510
Aïn Borja	Sbata	7192	984
Sbata	Maârif	10972	1224
Hay El Houda	Sbata	7502	1158
Hay El Baraka	Sbata	16548	1788
Hay Al Amal	Sbata	5564	857
Mers Sultan	Sbata	5175	776
Sbata	Hay Essalam	144005	5912
Sbata	ANFA	8188	1348
El Oulfa	Sbata	16132	1641
Lissasfa	Sbata	14598	1351
Sidi Bernoussi	Sbata	14360	1223
Hay El Farah	Sbata	5218	801
Al Fida	Sbata	5872	959
Sbata	BACHKOU	11430	1080
Hay Woroud	Sbata	2962350	110602
LA GIRONDE	Sbata	1764037	68242
Derb Ghallef	Sbata	11823	1411
Sbata	Sidi Moumen	7714	1194
Sbata	Hay Arrahma	608792	22177
Sbata	Hay Moulay Rachid 4	5449	754
Bournazel	Sbata	2025480	77166
Sidi Maârouf	Bourgogne	2351172	89121
Sidi Maârouf	Aïn Borja	14731	1448
Sidi Maârouf	Maârif	7559	1114
Hay El Houda	Sidi Maârouf	17969	1647
Sidi Maârouf	Hay El Baraka	9057	1340
Hay Al Amal	Sidi Maârouf	10870	1302
Sidi Maârouf	Mers Sultan	10616	1234
Sidi Maârouf	Hay Essalam	155082	6523
Sidi Maârouf	ANFA	8782	1358
El Oulfa	Sidi Maârouf	7031	1040
Sidi Maârouf	Lissasfa	5471	844
Sidi Bernoussi	Sidi Maârouf	21055	1664
Sidi Maârouf	Hay El Farah	10903	1335
Al Fida	Sidi Maârouf	10125	1317
Sidi Maârouf	BACHKOU	7457	1046
Hay Woroud	Sidi Maârouf	2973427	111213
LA GIRONDE	Sidi Maârouf	1775115	68853
Derb Ghallef	Sidi Maârouf	8815	1326
Sidi Maârouf	Sidi Moumen	17692	1666
Sidi Maârouf	Hay Arrahma	619869	22788
Sidi Maârouf	Hay Moulay Rachid 4	15290	1643
Sidi Maârouf	Bournazel	2036558	77777
Bourgogne	Aïn Borja	2336656	87772
Bourgogne	Maârif	2340489	88049
Hay El Houda	Bourgogne	2330724	87550
Bourgogne	Hay El Baraka	2346065	88613
Hay Al Amal	Bourgogne	2337255	87850
Bourgogne	Mers Sultan	2337000	87782
Bourgogne	Hay Essalam	2195788	83041
Bourgogne	ANFA	2340036	88172
El Oulfa	Bourgogne	2345648	88466
Bourgogne	Lissasfa	2344114	88176
Sidi Bernoussi	Bourgogne	2325637	87259
Bourgogne	Hay El Farah	2335859	87833
Al Fida	Bourgogne	2337310	87889
Bourgogne	BACHKOU	2340946	87906
Hay Woroud	Bourgogne	939983	35219
LA GIRONDE	Bourgogne	551083	21255
Derb Ghallef	Bourgogne	2341340	88236
Bourgogne	Sidi Moumen	2330447	87569
Bourgogne	Hay Arrahma	1889392	87628
Bourgogne	Hay Moulay Rachid 4	2333567	87827
Bourgogne	Bournazel	483452	20874
Aïn Borja	Maârif	9517	1008
Hay El Houda	Aïn Borja	9819	990
Aïn Borja	Hay El Baraka	15093	1572
Hay Al Amal	Aïn Borja	2624	506
Aïn Borja	Mers Sultan	3241	583
Aïn Borja	Hay Essalam	141850	5929
Aïn Borja	ANFA	4090	807
El Oulfa	Aïn Borja	14676	1425
Lissasfa	Aïn Borja	13142	1135
Sidi Bernoussi	Aïn Borja	12904	1007
Hay El Farah	Aïn Borja	3111	563
Al Fida	Aïn Borja	3682	745
Aïn Borja	BACHKOU	9974	864
Hay Woroud	Aïn Borja	2960195	110620
LA GIRONDE	Aïn Borja	1761882	68260
Derb Ghallef	Aïn Borja	4779	992
Aïn Borja	Sidi Moumen	9542	1009
Aïn Borja	Hay Arrahma	606637	22195
Aïn Borja	Hay Moulay Rachid 4	6132	989
Bournazel	Aïn Borja	2023325	77183
Hay El Houda	Maârif	13121	1295
Hay El Baraka	Maârif	7233	1091
Hay Al Amal	Maârif	4304	886
Mers Sultan	Maârif	4896	830
Hay Essalam	Maârif	145152	6234
Maârif	ANFA	1115	316
El Oulfa	Maârif	6065	1056
Lissasfa	Maârif	7256	844
Sidi Bernoussi	Maârif	16207	1312
Hay El Farah	Maârif	4791	943
Al Fida	Maârif	3227	633
BACHKOU	Maârif	1430	290
Hay Woroud	Maârif	2963497	110924
LA GIRONDE	Maârif	1765184	68565
Derb Ghallef	Maârif	1495	364
Maârif	Sidi Moumen	12844	1314
Hay Arrahma	Maârif	609939	22500
Maârif	Hay Moulay Rachid 4	10441	1291
Bournazel	Maârif	2026627	77488
Hay El Houda	Hay El Baraka	19266	1777
Hay El Houda	Hay Al Amal	10456	1014
Hay El Houda	Mers Sultan	10202	945
Hay El Houda	Hay Essalam	135335	5548
Hay El Houda	ANFA	13237	1336
El Oulfa	Hay El Houda	18850	1629
Hay El Houda	Lissasfa	17316	1339
Hay El Houda	Sidi Bernoussi	6390	626
Hay El Houda	Hay El Farah	9061	997
Al Fida	Hay El Houda	10511	1052
Hay El Houda	BACHKOU	14148	1069
Hay Woroud	Hay El Houda	2953680	110238
LA GIRONDE	Hay El Houda	1755368	67879
Hay El Houda	Derb Ghallef	14541	1400
Hay El Houda	Sidi Moumen	1211	272
Hay El Houda	Hay Arrahma	600122	21813
Hay El Houda	Hay Moulay Rachid 4	3006	651
Hay El Houda	Bournazel	2016811	76802
Hay Al Amal	Hay El Baraka	12969	1545
Mers Sultan	Hay El Baraka	12715	1477
Hay El Baraka	Hay Essalam	152099	6829
Hay El Baraka	ANFA	8114	1250
El Oulfa	Hay El Baraka	1834	332
Lissasfa	Hay El Baraka	5551	939
Sidi Bernoussi	Hay El Baraka	23154	1907
Hay El Farah	Hay El Baraka	13002	1578
Al Fida	Hay El Baraka	10194	1581
Hay El Baraka	BACHKOU	7898	1184
Hay Woroud	Hay El Baraka	2970444	111519
LA GIRONDE	Hay El Baraka	1772132	69159
Derb Ghallef	Hay El Baraka	7744	1154
Hay El Baraka	Sidi Moumen	19792	1908
Hay El Baraka	Hay Arrahma	616886	23094
Hay El Baraka	Hay Moulay Rachid 4	17389	1885
Bournazel	Hay El Baraka	2033575	78083
Hay Al Amal	Mers Sultan	795	158
Hay Al Amal	Hay Essalam	141569	5832
Hay Al Amal	ANFA	4027	752
El Oulfa	Hay Al Amal	11317	1197
Hay Al Amal	Lissasfa	9783	908
